text,href,twebsite
人文学院,http://rwxy.ncu.edu.cn/,https://rwxy.ncu.edu.cn/szdw/jsmd/zwxjsmd/index.htm
新闻与传播学院,http://xwycb.ncu.edu.cn/,http://xwycb.ncu.edu.cn///jzyg/17901.htm
外国语学院,http://wgyxy.ncu.edu.cn/,http://wgyxy.ncu.edu.cn//szdw/jsfc/index.htm
法学院,http://law.ncu.edu.cn/,http://law.ncu.edu.cn//szdw/index.htm
公共政策与管理学院,http://spm.ncu.edu.cn/,http://spm.ncu.edu.cn//#
马克思主义学院,http://szb.ncu.edu.cn/,http://szb.ncu.edu.cn//szdw/szpx/index.htm
经济管理学院,http://sem.ncu.edu.cn/,http://sem.ncu.edu.cn//szdw/szgk/index.htm
旅游学院,http://lyxy.ncu.edu.cn/,http://lyxy.ncu.edu.cn//szdw/
体育学院,http://spe.ncu.edu.cn/,https://spe.ncu.edu.cn/szdw/jsmc/index.htm
物理与材料学院,http://spms.ncu.edu.cn/,http://spms.ncu.edu.cn//http://spms.ncu.edu.cn/
数学与计算机学院,http://smcs.ncu.edu.cn/,http://smcs.ncu.edu.cn//szdw/jsml/index.htm
化学化工学院,http://chem.ncu.edu.cn/,http://chem.ncu.edu.cn//xygk/szdw/index.htm
先进制造学院,http://jdgcxy.ncu.edu.cn/,http://jdgcxy.ncu.edu.cn//szdw/jsdw/index.htm
信息工程学院,http://ie.ncu.edu.cn/,http://ie.ncu.edu.cn/szdw/zzjs/index.htm
软件学院,http://soft.ncu.edu.cn/,http://soft.ncu.edu.cn//szdw/qysz/index.htm
食品学院,http://sfst.ncu.edu.cn/,http://sfst.ncu.edu.cn//szdw/index.htm
生命科学学院,http://bio.ncu.edu.cn/,http://bio.ncu.edu.cn//szdw/index.htm
资源与环境学院,http://zhxy.ncu.edu.cn/,http://zhxy.ncu.edu.cn//xrcpy/xszdw/index.htm
建筑与设计学院,https://jzysjxy.ncu.edu.cn/,https://jzysjxy.ncu.edu.cn//szdw/index.htm
工程建设学院,http://gcjs.ncu.edu.cn/,http://gcjs.ncu.edu.cn//szdw/szgk/index.htm
基础医学院,http://sbms.ncu.edu.cn/,http://sbms.ncu.edu.cn//szdw/index.htm
公共卫生学院,http://sph.ncu.edu.cn/,http://sph.ncu.edu.cn//szdw/index.htm
药学院,http://yxy.ncu.edu.cn/,http://yxy.ncu.edu.cn//szdw/index.htm
护理学院,http://hlx.ncu.edu.cn/,http://hlx.ncu.edu.cn//yjsjy/szdw/index.htm
口腔医学院,http://www.jxskqyy.com/,http://www.jxskqyy.com///info/6915.html
玛丽女王学院,http://qmul.ncu.edu.cn/,https://qmul.ncu.edu.cn/zwsy/jyjx/szdw/index.htm
