text,href,twebsite
基础医学院,http://portal.smu.edu.cn/jcyxy/,http://portal.smu.edu.cn/jcyxy//szdw.htm
中医药学院,http://portal.smu.edu.cn/zyyxy/,http://portal.smu.edu.cn/zyyxy//szdw/szgg.htm
生物医学工程学院,http://portal.smu.edu.cn/swyxgcxy/,http://portal.smu.edu.cn/swyxgcxy//szdw/szgk.htm
药学院,http://portal.smu.edu.cn/yxy/,http://portal.smu.edu.cn/yxy//info/1023/3079.htm
公共卫生学院,http://portal.smu.edu.cn/gwxy/,https://portal.smu.edu.cn/gwxy/szdw/zg.htm
护理学院,http://portal.smu.edu.cn/hlxy/,https://portal.smu.edu.cn/hlxy/yjsjy/dsml.htm
检验与生物技术学院,http://portal.smu.edu.cn/jyyswjs/,http://portal.smu.edu.cn/jyyswjs//szdw/szgk.htm
卫生管理学院,http://portal.smu.edu.cn/wsglxy/,http://portal.smu.edu.cn/wsglxy//szdw1/szmd.htm
马克思主义学院,http://portal.smu.edu.cn/mks/,https://portal.smu.edu.cn/mks/szll/jsml.htm
外国语学院,http://portal.smu.edu.cn/cfs/,http://portal.smu.edu.cn/cfs//szdw.htm
法医学院,http://portal.smu.edu.cn/fyxy/,http://portal.smu.edu.cn/fyxy//xygk/szdw.htm
第一临床医学院,https://www.nfyy.com/jxgl/,https://www.nfyy.com/jxgl///jxgl/byhjy/a_113427.html
康复医学院,http://portal.smu.edu.cn/kfyxy/,http://portal.smu.edu.cn/kfyxy//szdw.htm
麻醉学院,http://www.nfyy.com/mzxy/,https://www.nfyy.com/mzxy/msjs/
