学校名称_中文,学校名称_英文,省份,排名,学校地址,学校网址
清华大学,Tsinghua University,北京,1,"北京市海淀区双清路30号
",https://baike.baidu.com/item/%E6%B8%85%E5%8D%8E%E5%A4%A7%E5%AD%A6
北京大学,Peking University,北京,2,"北京市海淀区颐和园路5号
",https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%A4%A7%E5%AD%A6
浙江大学,Zhejiang University,浙江,3,"浙江省杭州市西湖区余杭塘路866号
",https://baike.baidu.com/item/%E6%B5%99%E6%B1%9F%E5%A4%A7%E5%AD%A6
上海交通大学,Shanghai Jiao Tong University,上海,4,"闵行区东川路800号
",https://baike.baidu.com/item/%E4%B8%8A%E6%B5%B7%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%A6
复旦大学,Fudan University,上海,5,"上海市杨浦区邯郸路220号
",https://baike.baidu.com/item/%E5%A4%8D%E6%97%A6%E5%A4%A7%E5%AD%A6
南京大学,Nanjing University,江苏,6,"江苏省南京市仙林大道163号
",https://baike.baidu.com/item/%E5%8D%97%E4%BA%AC%E5%A4%A7%E5%AD%A6
中国科学技术大学,University of Science and Technology of China,安徽,7,"安徽省合肥市蜀山区黄山路4号
",https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF%E5%A4%A7%E5%AD%A6
华中科技大学,Huazhong University of Science and Technology,湖北,8,"湖北省武汉市洪山区珞喻路1037号
",https://baike.baidu.com/item/%E5%8D%8E%E4%B8%AD%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6
武汉大学,Wuhan University,湖北,9,"湖北省武汉市武昌区珞珈山街道八一路299号
",https://baike.baidu.com/item/%E6%AD%A6%E6%B1%89%E5%A4%A7%E5%AD%A6
西安交通大学,Xi'an Jiaotong University,陕西,10,"陕西省西安市碑林区咸宁西路28号
",https://baike.baidu.com/item/%E8%A5%BF%E5%AE%89%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%A6
中山大学,Sun Yat-Sen University,广东,11,"广东省广州市海珠区新港西路135号
",https://baike.baidu.com/item/%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6
四川大学,Sichuan University,四川,12,"四川省成都市武侯区一环路南一段24号
",https://baike.baidu.com/item/%E5%9B%9B%E5%B7%9D%E5%A4%A7%E5%AD%A6
哈尔滨工业大学,Harbin Institute of Technology,黑龙江,13,"黑龙江省哈尔滨市南岗区西大直街92号
",https://baike.baidu.com/item/%E5%93%88%E5%B0%94%E6%BB%A8%E5%B7%A5%E4%B8%9A%E5%A4%A7%E5%AD%A6
北京航空航天大学,Beihang University,北京,14,"北京市海淀区学院路37号
",https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E8%88%AA%E7%A9%BA%E8%88%AA%E5%A4%A9%E5%A4%A7%E5%AD%A6
