学校名称(中文),学校名称(英文),省份,综合评分,排名
清华大学,Tsinghua University,北京,1004.1,1
北京大学,Peking University,北京,910.5,2
浙江大学,Zhejiang University,浙江,822.9,3
上海交通大学,Shanghai Jiao Tong University,上海,778.6,4
复旦大学,Fudan University,上海,712.4,5
南京大学,Nanjing University,江苏,676.2,6
中国科学技术大学,University of Science and Technology of China,安徽,608.6,7
华中科技大学,Huazhong University of Science and Technology,湖北,606.2,8
武汉大学,Wuhan University,湖北,599.1,9
西安交通大学,Xi'an Jiaotong University,陕西,572.6,10
中山大学,Sun Yat-Sen University,广东,570,11
四川大学,Sichuan University,四川,546.9,12
哈尔滨工业大学,Harbin Institute of Technology,黑龙江,544.2,13
北京航空航天大学,Beihang University,北京,543.5,14
东南大学,Southeast University,江苏,532.3,15
北京理工大学,Beijing Institute of Technology,北京,529.3,16
同济大学,Tongji University,上海,527,17
中国人民大学,Renmin University of China,北京,526.3,18
北京师范大学,Beijing Normal University,北京,523.4,19
南开大学,Nankai University,天津,490.4,20
天津大学,Tianjin University,天津,480.5,21
北京协和医学院,Peking Union Medical College,北京,,医1
山东大学,Shandong University,山东,472.8,22
中南大学,Central South University,湖南,466.1,23
厦门大学,Xiamen University,福建,463.2,24
西北工业大学,Northwestern Polytechnical University,陕西,462,25
华南理工大学,South China University of Technology,广东,444.2,26
吉林大学,Jilin University,吉林,439.1,27
电子科技大学,University of Electronic Science and Technology of China,四川,437,28
湖南大学,Hunan University,湖南,435.5,29
中国农业大学,China Agricultural University,北京,432.8,30
华东师范大学,East China Normal University,上海,428.2,31
大连理工大学,Dalian University of Technology,辽宁,417.4,32
南方科技大学,Southern University of Science and Technology,广东,413,33
重庆大学,Chongqing University,重庆,397.7,34
上海财经大学,Shanghai University of Finance and Economics,上海,,财1
北京科技大学,University of Science and Technology Beijing,北京,382.8,35
南京理工大学,Nanjing University of Science and Technology,江苏,381.2,36
南京航空航天大学,Nanjing University of Aeronautics and Astronautics,江苏,376.6,37
东北大学,Northeastern University,辽宁,369.4,38
西安电子科技大学,Xidian University,陕西,363.8,39
兰州大学,Lanzhou University,甘肃,362.2,40
苏州大学,Soochow University (China),江苏,362.2,40
华中农业大学,Huazhong Agricultural University,湖北,361,42
北京交通大学,Beijing jiaotong University,北京,346.9,43
华东理工大学,East China University of Science and Technology,上海,346.1,44
上海科技大学,ShanghaiTech University,上海,343.3,45
首都医科大学,Capital Medical University,北京,,医2
郑州大学,Zhengzhou University,河南,336.5,46
中央财经大学,Central University of Finance and Economics,北京,,财2
华中师范大学,Central China Normal University,湖北,334.2,47
上海大学,Shanghai University,上海,333.2,48
南京医科大学,Nanjing Medical University,江苏,,医3
哈尔滨工程大学,Harbin Engineering University,黑龙江,332.6,49
南方医科大学,Southern Medical University,广东,,医4
暨南大学,Jinan University,广东,332.4,50
中国政法大学,China University of Political Science and Law,北京,,政1
南京农业大学,Nanjing Agricultural University,江苏,330.7,51
对外经济贸易大学,University of International Business and Economics,北京,,财3
中国石油大学（北京）,China University of Petroleum - Beijing,北京,330.1,52
东北师范大学,Northeast Normal University,吉林,327.2,53
武汉理工大学,Wuhan University of Technology,湖北,326.1,54
西南交通大学,Southwest Jiaotong University,四川,325.1,55
中国矿业大学,China University of Mining and Technology - Xuzhou,江苏,324,56
北京邮电大学,Beijing University of Posts and Telecommunications,北京,323.4,57
香港中文大学（深圳）,"The Chinese University of Hong Kong, Shenzhen",广东,,合作1
南京师范大学,Nanjing Normal University,江苏,322.7,58
中国地质大学（武汉）,China University of Geosciences (Wuhan),湖北,322.5,59
江南大学,Jiangnan University,江苏,321.6,60
河海大学,Hohai University,江苏,320.9,61
中国海洋大学,Ocean University of China,山东,319.8,62
北京工业大学,Beijing University of Technology,北京,314.2,63
哈尔滨医科大学,Harbin Medical University,黑龙江,,医5
北京化工大学,Beijing University of Chemical Technology,北京,309.6,64
西北大学,Northwest University,陕西,306.8,65
西南财经大学,Southwestern University of Finance and Economics,四川,,财4
中国石油大学（华东）,China University of Petroleum (Huadong),山东,304.4,66
陕西师范大学,Shaanxi Normal University,陕西,301.7,67
天津医科大学,Tianjin Medical University,天津,,医6
中南财经政法大学,Zhongnan University of Economics and Law,湖北,,财5
深圳大学,Shenzhen University,广东,301.4,68
南昌大学,Nanchang University,江西,299.5,69
浙江工业大学,Zhejiang University of Technology,浙江,298.8,70
